slice_family,slice,support_n,metric,value,overall_reference,absolute_delta,relative_delta,ci95_low,ci95_high,p_value,q_value,practical_significance,statistical_significance,designation
monetary_field_density,mid,28,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8793566952341603,1.0,0.44177911044477763,0.7679270121037043,False,False,headline
monetary_field_density,high,28,total_exact,0.9642857142857143,0.9894736842105263,-0.02518796992481198,-0.025455927051671684,0.8228780225664727,0.9936674801509622,0.638680659670165,0.7679270121037043,False,False,headline
total_amount,low,22,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8513451253913862,1.0,0.4307846076961519,0.7679270121037043,False,False,headline
total_amount,mid,31,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8897446045395695,1.0,0.624687656171914,0.7679270121037043,False,False,headline
total_amount,high,42,total_exact,0.9761904761904762,0.9894736842105263,-0.013283208020050119,-0.013424518743667674,0.8767879842623376,0.9957845958655673,0.6216891554222889,0.7679270121037043,False,False,headline
total_present,present,95,total_exact,0.9894736842105263,0.9894736842105263,0.0,0.0,0.9427612985868659,0.998139423737652,1.0,1.0,False,False,headline
subtotal_present,present,64,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.9433759402071974,0.9999999999999999,0.6316841579210395,0.7679270121037043,False,False,headline
subtotal_present,absent,31,total_exact,0.967741935483871,0.9894736842105263,-0.021731748726655287,-0.021962937542896303,0.8380589483527563,0.9942827784745831,0.6196901549225388,0.7679270121037043,False,False,headline
tax_present,present,43,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.917990196774213,1.0,0.4497751124437781,0.7679270121037043,False,False,headline
tax_present,absent,52,total_exact,0.9807692307692307,0.9894736842105263,-0.008704453441295557,-0.008797054009819978,0.8987948887210808,0.9965971919290546,0.44377811094452774,0.7679270121037043,False,False,headline
discount_present,present,10,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.7224672001371218,0.9999999999999999,0.6426786606696652,0.7679270121037043,False,False,exploratory
discount_present,absent,85,total_exact,0.9882352941176471,0.9894736842105263,-0.0012383900928791824,-0.0012515644555693866,0.9363282911750633,0.9979202128653358,0.6361819090454772,0.7679270121037043,False,False,headline
simple_vs_multi_line_item,simple,37,total_exact,0.972972972972973,0.9894736842105263,-0.016500711237553256,-0.016676250718803822,0.8617593013626994,0.9952130255480593,0.6151924037981009,0.7679270121037043,False,False,headline
simple_vs_multi_line_item,multi,58,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.9378821442128003,1.0,0.6181909045477262,0.7679270121037043,False,False,headline
