policy,coverage,selective_risk
calibrated_confidence,0.87,0.5977011494252874
calibrated_confidence,0.88,0.6022727272727273
calibrated_confidence,0.89,0.6067415730337079
calibrated_confidence,0.9,0.6111111111111112
calibrated_confidence,0.91,0.6153846153846154
calibrated_confidence,0.92,0.6195652173913043
calibrated_confidence,0.93,0.6236559139784946
calibrated_confidence,0.94,0.6276595744680851
calibrated_confidence,0.95,0.631578947368421
calibrated_confidence,0.96,0.6354166666666666
calibrated_confidence,0.97,0.6391752577319587
calibrated_confidence,0.98,0.6428571428571429
calibrated_confidence,0.99,0.6464646464646465
calibrated_confidence,1.0,0.65
model_disagreement,0.01,1.0
model_disagreement,0.02,0.5
model_disagreement,0.03,0.3333333333333333
model_disagreement,0.04,0.5
model_disagreement,0.05,0.6
model_disagreement,0.06,0.6666666666666666
model_disagreement,0.07,0.5714285714285714
model_disagreement,0.08,0.625
model_disagreement,0.09,0.5555555555555556
model_disagreement,0.1,0.6
model_disagreement,0.11,0.5454545454545454
model_disagreement,0.12,0.5
model_disagreement,0.13,0.46153846153846156
model_disagreement,0.14,0.5
model_disagreement,0.15,0.5333333333333333
model_disagreement,0.16,0.5625
model_disagreement,0.17,0.5294117647058824
model_disagreement,0.18,0.5555555555555556
model_disagreement,0.19,0.5789473684210527
model_disagreement,0.2,0.55
model_disagreement,0.21,0.5238095238095238
model_disagreement,0.22,0.5454545454545454
model_disagreement,0.23,0.5652173913043478
model_disagreement,0.24,0.5833333333333334
model_disagreement,0.25,0.6
model_disagreement,0.26,0.6153846153846154
model_disagreement,0.27,0.5925925925925926
model_disagreement,0.28,0.6071428571428571
model_disagreement,0.29,0.6206896551724138
model_disagreement,0.3,0.6333333333333333
model_disagreement,0.31,0.6451612903225806
model_disagreement,0.32,0.625
model_disagreement,0.33,0.6363636363636364
model_disagreement,0.34,0.6470588235294118
model_disagreement,0.35,0.6571428571428571
model_disagreement,0.36,0.6388888888888888
model_disagreement,0.37,0.6486486486486487
model_disagreement,0.38,0.6578947368421053
model_disagreement,0.39,0.6666666666666666
model_disagreement,0.4,0.675
model_disagreement,0.41,0.6585365853658537
model_disagreement,0.42,0.6428571428571429
model_disagreement,0.43,0.6511627906976745
model_disagreement,0.44,0.6590909090909091
model_disagreement,0.45,0.6444444444444445
model_disagreement,0.46,0.6304347826086957
model_disagreement,0.47,0.6382978723404256
model_disagreement,0.48,0.625
model_disagreement,0.49,0.6326530612244898
model_disagreement,0.5,0.64
model_disagreement,0.51,0.6274509803921569
model_disagreement,0.52,0.6346153846153846
model_disagreement,0.53,0.6415094339622641
model_disagreement,0.54,0.6481481481481481
model_disagreement,0.55,0.6363636363636364
model_disagreement,0.56,0.6428571428571429
model_disagreement,0.57,0.6491228070175439
model_disagreement,0.58,0.6551724137931034
model_disagreement,0.59,0.6610169491525424
model_disagreement,0.6,0.65
model_disagreement,0.61,0.639344262295082
model_disagreement,0.62,0.6451612903225806
model_disagreement,0.63,0.6507936507936508
model_disagreement,0.64,0.640625
model_disagreement,0.65,0.6461538461538462
model_disagreement,0.66,0.6515151515151515
model_disagreement,0.67,0.6417910447761194
model_disagreement,0.68,0.6323529411764706
model_disagreement,0.69,0.6231884057971014
model_disagreement,0.7,0.6142857142857143
model_disagreement,0.71,0.6197183098591549
model_disagreement,0.72,0.625
model_disagreement,0.73,0.6301369863013698
model_disagreement,0.74,0.6351351351351351
model_disagreement,0.75,0.6266666666666667
model_disagreement,0.76,0.631578947368421
model_disagreement,0.77,0.6363636363636364
model_disagreement,0.78,0.6282051282051282
model_disagreement,0.79,0.6329113924050633
model_disagreement,0.8,0.625
model_disagreement,0.81,0.6296296296296297
model_disagreement,0.82,0.6219512195121951
model_disagreement,0.83,0.6265060240963856
model_disagreement,0.84,0.6309523809523809
model_disagreement,0.85,0.6352941176470588
model_disagreement,0.86,0.627906976744186
model_disagreement,0.87,0.632183908045977
model_disagreement,0.88,0.6363636363636364
model_disagreement,0.89,0.6404494382022472
model_disagreement,0.9,0.6333333333333333
model_disagreement,0.91,0.6263736263736264
model_disagreement,0.92,0.6304347826086957
model_disagreement,0.93,0.6344086021505376
model_disagreement,0.94,0.6382978723404256
model_disagreement,0.95,0.631578947368421
model_disagreement,0.96,0.6354166666666666
model_disagreement,0.97,0.6391752577319587
model_disagreement,0.98,0.6428571428571429
model_disagreement,0.99,0.6464646464646465
model_disagreement,1.0,0.65
confidence_plus_reconciliation,0.01,1.0
confidence_plus_reconciliation,0.02,0.5
confidence_plus_reconciliation,0.03,0.3333333333333333
confidence_plus_reconciliation,0.04,0.25
confidence_plus_reconciliation,0.05,0.4
confidence_plus_reconciliation,0.06,0.3333333333333333
confidence_plus_reconciliation,0.07,0.2857142857142857
confidence_plus_reconciliation,0.08,0.25
confidence_plus_reconciliation,0.09,0.2222222222222222
confidence_plus_reconciliation,0.1,0.2
confidence_plus_reconciliation,0.11,0.18181818181818182
confidence_plus_reconciliation,0.12,0.16666666666666666
confidence_plus_reconciliation,0.13,0.15384615384615385
confidence_plus_reconciliation,0.14,0.14285714285714285
