document_id,corruption,severity,critical_content_presence_recall,critical_proxy_error,leaf_f1,risk_score,analysis_scope,risk_increase_from_source_clean
cord-v2-validation-00013,jpeg,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00013,contrast,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00013,contrast,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00013,occlusion,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00013,occlusion,high,0.8,1,0.6666666666666665,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00018,clean,clean,1.0,0,1.0,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00018,gaussian_blur,low,1.0,0,0.9166666666666666,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00018,gaussian_blur,high,1.0,0,0.9166666666666666,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00018,rotation,low,1.0,0,1.0,0.4605422891057291,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.061379671179492334
cord-v2-validation-00018,rotation,high,1.0,0,1.0,0.4605422891057291,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.061379671179492334
cord-v2-validation-00018,downsampling,low,1.0,0,0.9166666666666666,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00018,downsampling,high,1.0,0,0.9166666666666666,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00018,jpeg,low,1.0,0,1.0,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00018,jpeg,high,1.0,0,1.0,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00018,contrast,low,1.0,0,1.0,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00018,contrast,high,1.0,0,0.9166666666666666,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00018,occlusion,low,1.0,0,1.0,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00018,occlusion,high,1.0,0,1.0,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00008,clean,clean,1.0,0,1.0,0.3976135576990895,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00008,gaussian_blur,low,1.0,0,0.9285714285714286,0.3976135576990895,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00008,gaussian_blur,high,1.0,0,0.7142857142857143,0.339345038349204,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,-0.05826851934988553
cord-v2-validation-00008,rotation,low,1.0,0,1.0,0.3976135576990895,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00008,rotation,high,1.0,0,1.0,0.3976135576990895,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00008,downsampling,low,1.0,0,0.9285714285714286,0.3976135576990895,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00008,downsampling,high,1.0,0,0.7857142857142857,0.3976135576990895,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00008,jpeg,low,1.0,0,1.0,0.3976135576990895,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00008,jpeg,high,1.0,0,1.0,0.3976135576990895,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00008,contrast,low,1.0,0,1.0,0.3976135576990895,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00008,contrast,high,1.0,0,1.0,0.3976135576990895,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00008,occlusion,low,1.0,0,0.5714285714285714,0.3976135576990895,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00008,occlusion,high,1.0,0,0.30769230769230765,0.3976135576990895,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00011,clean,clean,1.0,0,0.9411764705882353,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00011,gaussian_blur,low,1.0,0,0.9411764705882353,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00011,gaussian_blur,high,1.0,0,0.9411764705882353,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00011,rotation,low,1.0,0,0.9411764705882353,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00011,rotation,high,1.0,0,0.9411764705882353,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00011,downsampling,low,1.0,0,0.9411764705882353,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00011,downsampling,high,1.0,0,0.9411764705882353,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00011,jpeg,low,1.0,0,0.9411764705882353,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00011,jpeg,high,1.0,0,0.9411764705882353,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00011,contrast,low,1.0,0,0.9411764705882353,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00011,contrast,high,1.0,0,0.9411764705882353,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00011,occlusion,low,1.0,0,0.7500000000000001,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00011,occlusion,high,1.0,0,0.7333333333333334,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
